Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent
Sint Maarten,52.0,2.0,9.0,0.0,5.0,38.0,2.0,1213.0,210.0,134.0,3125.0,North America
Bahamas,49.0,0.0,8.0,0.0,6.0,35.0,1.0,125.0,20.0,0.0,0.0,North America
Guyana,47.0,0.0,6.0,0.0,8.0,33.0,5.0,60.0,8.0,213.0,271.0,South America
Zambia,45.0,0.0,2.0,0.0,30.0,13.0,1.0,2.0,0.1,1696.0,92.0,Africa
Macao,45.0,0.0,0.0,0.0,10.0,35.0,1.0,69.0,0.0,0.0,0.0,Asia
Equatorial Guinea,41.0,20.0,0.0,0.0,4.0,37.0,0.0,29.0,0.0,854.0,609.0,Africa
Haiti,40.0,0.0,3.0,0.0,0.0,37.0,0.0,4.0,0.3,365.0,32.0,North America
Guinea-Bissau,38.0,0.0,0.0,0.0,0.0,38.0,0.0,19.0,0.0,1500.0,762.0,Africa
Benin,35.0,0.0,1.0,0.0,18.0,16.0,0.0,3.0,0.08,0.0,0.0,Africa
Eritrea,34.0,0.0,0.0,0.0,0.0,34.0,0.0,10.0,0.0,0.0,0.0,Africa
Sudan,32.0,3.0,5.0,1.0,4.0,23.0,0.0,0.7,0.1,0.0,0.0,Africa
Saint Martin,32.0,0.0,2.0,0.0,11.0,19.0,5.0,828.0,52.0,0.0,0.0,North America
Mongolia,30.0,13.0,0.0,0.0,5.0,25.0,0.0,9.0,0.0,1000.0,305.0,Asia
Syria,29.0,4.0,2.0,0.0,5.0,22.0,0.0,2.0,0.1,0.0,0.0,Asia
Mozambique,28.0,7.0,0.0,0.0,2.0,26.0,0.0,0.9,0.0,762.0,24.0,Africa
Libya,26.0,0.0,1.0,0.0,9.0,16.0,0.0,4.0,0.1,545.0,79.0,Africa
Antigua and Barbuda,23.0,0.0,2.0,0.0,3.0,18.0,1.0,235.0,20.0,73.0,745.0,North America
Chad,23.0,0.0,0.0,0.0,2.0,21.0,0.0,1.0,0.0,0.0,0.0,Africa
Maldives,20.0,0.0,0.0,0.0,14.0,6.0,0.0,37.0,0.0,0.0,0.0,Asia
Angola,19.0,0.0,2.0,0.0,4.0,13.0,0.0,0.6,0.06,0.0,0.0,Africa
Laos,19.0,0.0,0.0,0.0,1.0,18.0,0.0,3.0,0.0,1235.0,170.0,Asia
Belize,18.0,0.0,2.0,0.0,0.0,16.0,1.0,45.0,5.0,567.0,1426.0,North America
New Caledonia,18.0,0.0,0.0,0.0,1.0,17.0,0.0,63.0,0.0,2608.0,9135.0,Australia/Oceania
Zimbabwe,17.0,0.0,3.0,0.0,0.0,14.0,0.0,1.0,0.2,604.0,41.0,Africa
Malawi,16.0,0.0,2.0,0.0,0.0,14.0,1.0,0.8,0.1,314.0,16.0,Africa
Nepal,16.0,2.0,0.0,0.0,1.0,15.0,0.0,0.5,0.0,6299.0,216.0,Asia
Dominica,16.0,0.0,0.0,0.0,8.0,8.0,0.0,222.0,0.0,345.0,4793.0,North America
Fiji,16.0,0.0,0.0,0.0,0.0,16.0,0.0,18.0,0.0,0.0,0.0,Australia/Oceania
Namibia,16.0,0.0,0.0,0.0,3.0,13.0,0.0,6.0,0.0,362.0,142.0,Africa
Saint Lucia,15.0,0.0,0.0,0.0,4.0,11.0,0.0,82.0,0.0,0.0,0.0,North America
Eswatini,15.0,0.0,0.0,0.0,8.0,7.0,0.0,13.0,0.0,714.0,615.0,Africa
Curaçao,14.0,0.0,1.0,0.0,10.0,3.0,0.0,85.0,6.0,230.0,1402.0,North America
Grenada,14.0,0.0,0.0,0.0,0.0,14.0,2.0,124.0,0.0,92.0,818.0,North America
Botswana,13.0,0.0,1.0,0.0,0.0,12.0,0.0,6.0,0.4,3115.0,1325.0,Africa
Saint Kitts and Nevis,12.0,0.0,0.0,0.0,0.0,12.0,0.0,226.0,0.0,233.0,4380.0,North America
